div_bin,H0,H1,H2,H3,H4,H5
D0,0.1245,0.2707,,,,
D1,0.1050,0.2330,,,,
D2,0.1988,0.3869,,,,
D3,0.1986,0.1903,,,,
D4,0.1133,,,,,
D5,0.1754,0.3307,,,,
D6,0.1568,0.2134,0.0000,,,
D7,0.1591,0.3418,,0.2374,,
D8,0.1606,0.2525,,,,
D9,0.0783,0.1399,,,,
D10,0.1400,0.2675,,,,
D11,0.1206,0.2455,0.1600,,0.0000,
D12,0.1340,0.2227,,,,
D13,0.1936,0.3916,0.4952,0.5603,,
D14,0.0427,,,,,
D15,0.0518,0.2836,,,,
D16,0.0932,,,,,
