div_bin,H0,H1,H2,H3,H4,H5
D0,0.2056,0.3811,0.4256,0.6476,0.8672,
D1,0.2056,0.3597,0.4230,,,
D2,0.1841,0.3031,0.4932,,,
D3,0.2037,0.3257,,0.6650,,
D4,0.2000,0.3317,0.3890,,,
D5,0.1040,,,,,
