div_bin,H0,H1,H2,H3,H4,H5
D0,0.1826,0.1838,,,,
D1,0.0802,0.2304,,0.2929,,
D2,0.0359,,,,,
D3,0.1532,0.3705,,,,
D4,0.1012,,,,,
D5,0.0964,0.3018,0.1518,,,
D6,0.1857,,,,,
D7,0.1853,0.2532,,,,
D8,0.0981,0.1029,,,,
D9,0.1223,0.2645,,,,
D10,0.1589,0.0830,,,,
D11,0.2042,0.4098,0.4806,,1.0238,
D12,0.1285,0.0761,,,,
D13,0.1099,,,,,
D14,0.1355,0.1759,,,,
D15,0.1450,,,,,
D16,0.1762,0.2556,0.1841,0.0000,,
