div_bin,H0,H1,H2,H3,H4,H5
D0,0.0846,0.2707,,,,
D1,0.1260,0.2810,,,,
D2,0.1357,,,,,
D3,0.1141,0.2937,,,,
D4,0.1687,,,,,
D5,0.1745,0.2912,0.4910,,,
D6,0.0991,,,,,
D7,0.1367,0.0000,,,,
D8,0.1650,0.1908,0.2043,,,
D9,0.0467,,,,,
D10,0.1361,0.2324,0.0000,,,
D11,0.1995,0.3308,0.4101,0.2742,0.5980,
D12,0.0993,0.2755,,,,
D13,0.1149,0.3252,,,,
D14,0.1030,0.0000,,,,
D15,0.1327,0.3766,,,,
D16,0.0465,0.1221,0.0000,,,
