div_bin,H0,H1,H2,H3,H4,H5
D0,0.0724,,,,,
D1,0.0412,,,,,
D2,0.0499,,,,,
D3,0.0347,,,,,
D4,0.0430,,,,,
D5,0.0444,,,,,
