div_bin,H0,H1,H2,H3,H4,H5
D0,0.1917,0.2909,,,,
D1,0.1733,0.2050,,,,
D2,0.1401,0.1854,,,,
D3,0.1645,0.0884,,,,
D4,0.1183,,,,,
D5,0.1515,0.3670,,,,
