div_bin,H0,H1,H2,H3,H4,H5
D0,0.1684,0.3863,0.4195,,,
D1,0.0293,0.3451,0.4195,,,
D2,0.1684,0.3530,0.3684,,,
D3,0.0000,0.2946,0.3852,,,
D4,0.1684,,,,,
D5,,0.1975,0.1948,,,
