div_bin,H0,H1,H2,H3,H4,H5
D0,0.1064,,,,,
D1,0.0619,,,,,
D2,0.0701,,,,,
D3,0.0523,,,,,
D4,0.0312,,,,,
D5,0.0407,,,,,
