div_bin,H0,H1,H2,H3,H4,H5
D0,0.1684,0.3863,0.4195,,,
D1,0.1684,0.3863,0.4195,,,
D2,0.1684,0.3530,0.3852,,,
D3,0.0293,0.3863,0.4195,,,
D4,0.1022,0.3160,0.1948,,,
D5,0.1684,0.2358,0.3462,,,
